************************Header***************************

************************Result***************************
Directory:     ['\\\\130.60.131.134\\studi\\Filme\\frueher_Film', '\\\\130.60.131.134\\studi\\Filme\\mittlere_Filme', '\\\\130.60.131.134\\studi\\Filme\\spaete_Filme']
Total Folders: 470


*******************File Information**********************
n-Correct      n-Multiple     n-Incorrect    n-Not-Started  n-Total        
166            54             62             188            470            


************************Details***************************
Legend
PR: Pre-Naming Nomeclature
MS: Missing Segmentation
AL: Everything OK


         Status       n-Movies         n-ELAN    n-Filemaker     n-Segment.      n-Folders     n-Indexing    n-Timestamp    n-PreNaming       n-Others               Path 
          OK-AL              1              1              1              1              1              0            520              0              0               \\130.60.131.134\studi\Filme\mittlere_Filme\249_An_American_in_Paris_1951
   *Not Started              1              0              0              0              0              0              0              0              0               \\130.60.131.134\studi\Filme\mittlere_Filme\2564_Im_Weissen_Rössl_1952
      *Multiple              1              1              2              0              1              0              0            441              0               \\130.60.131.134\studi\Filme\mittlere_Filme\256_Gentlemen_Prefer_Blondes_1953
   *Not Started              1              0              1              1              2            557              0              0              0               \\130.60.131.134\studi\Filme\mittlere_Filme\258_Johnny_Guitar_1954
   *Not Started              1              0              1              1              2              0            470              0              0               \\130.60.131.134\studi\Filme\mittlere_Filme\25_Jour_de_fete_1949
      *Multiple              1              1              2              1              1              0              0            437              0               \\130.60.131.134\studi\Filme\mittlere_Filme\266_The_Garden_of_Allah_1936
      *Multiple              2              1              3              0              1              0              0            467              0               \\130.60.131.134\studi\Filme\mittlere_Filme\268_Senso_1954
   ***Incorrect              1              1              1              0              2              0              0              0            392               \\130.60.131.134\studi\Filme\mittlere_Filme\27_Moulin_Rouge_1952
   *Not Started              1              0              0              0              0              0              0              0              0               \\130.60.131.134\studi\Filme\mittlere_Filme\285_Pandora_and_the_Flying_Dutchman_1951
   *Not Started              1              0              1              1              2            565              0              0              0               \\130.60.131.134\studi\Filme\mittlere_Filme\289_Heaven_Can_Wait_1943
   *Not Started              3              0              1              0              2              0           1603              0              0               \\130.60.131.134\studi\Filme\mittlere_Filme\293_Das_kalte_Herz_1950
      *Multiple              1              1              2              0              1              0              0            430              0               \\130.60.131.134\studi\Filme\mittlere_Filme\299_The_Black_Swan_1942
          OK-MS              1              1              1              0              1              0            331              0              0               \\130.60.131.134\studi\Filme\mittlere_Filme\2_Flight_to_Mars_1951
          OK-AL              1              1              1              1              1              0            304              0              0               \\130.60.131.134\studi\Filme\mittlere_Filme\300_Steel_1945
   *Not Started              1              0              1              1              2              0              0              0            327               \\130.60.131.134\studi\Filme\mittlere_Filme\301_Rope_1948
   *Not Started              1              0              0              0              0              0              0              0              0               \\130.60.131.134\studi\Filme\mittlere_Filme\3034_Wiener_Maedeln_1944
          OK-AL              1              1              1              1              1              0             40              0              0               \\130.60.131.134\studi\Filme\mittlere_Filme\3133_Trooping_the_Colour_1937
   *Not Started              1              0              0              0              0              0              0              0              0               \\130.60.131.134\studi\Filme\mittlere_Filme\3134_King_George_VI_at_Plymouth_1939
   *Not Started              1              0              0              0              0              0              0              0              0               \\130.60.131.134\studi\Filme\mittlere_Filme\3136_Erection_of_the_Dome_of_Discovery_1950
   *Not Started              1              0              0              0              0              0              0              0              0               \\130.60.131.134\studi\Filme\mittlere_Filme\3138_Long_to_Reign_over_Us_1953
          OK-AL              1              1              1              1              1              0             66              0              0               \\130.60.131.134\studi\Filme\mittlere_Filme\3139_The_Royal_Occasion_1953
   *Not Started              1              0              0              0              0              0              0              0              0               \\130.60.131.134\studi\Filme\mittlere_Filme\3143_River_of_Steel_1951
          OK-MS              1              1              1              0              1              0            661              0              0               \\130.60.131.134\studi\Filme\mittlere_Filme\314_Broken_Arrow_1950
   *Not Started              1              0              0              0              0              0              0              0              0               \\130.60.131.134\studi\Filme\mittlere_Filme\3151_The_Pirate_1949
          OK-AL              1              1              1              1              1              0            649              0              0               \\130.60.131.134\studi\Filme\mittlere_Filme\3170_Western_Union_1941
   *Not Started              1              0              0              0              0              0              0              0              0               \\130.60.131.134\studi\Filme\mittlere_Filme\3171_The_Naked_Spur_1953
          OK-AL              1              1              1              1              1              0            129              0              0               \\130.60.131.134\studi\Filme\mittlere_Filme\3172_La_Fiesta_de_Santa_Barbara_1935
   *Not Started              1              0              0              0              0              0              0              0              0               \\130.60.131.134\studi\Filme\mittlere_Filme\3220_Its_a_Great_Feeling_1949
   *Not Started              1              0              0              0              0              0              0              0              0               \\130.60.131.134\studi\Filme\mittlere_Filme\3221_Tea_for_Two_1950
   *Not Started              1              0              0              0              0              0              0              0              0               \\130.60.131.134\studi\Filme\mittlere_Filme\3222_April_in_Paris_1952
   *Not Started              1              0              1              1              2              0             91              0              0               \\130.60.131.134\studi\Filme\mittlere_Filme\323_Farewell_Topsails_1937
          OK-AL              1              1              1              1              1              0           1001              0              0               \\130.60.131.134\studi\Filme\mittlere_Filme\324_Dive_Bomber_1941
          OK-AL              1              1              1              1              1              0            400              0              0               \\130.60.131.134\studi\Filme\mittlere_Filme\3372_River_of_No_Return_1954
